Unique_User_ID;Subscription_Month_Start_Date;Subscription_Month_End_Date;Cancellation_Request_Date;City_ID
10214551;02/01/2016;2/29/16;NULL;2
10243632;02/01/2016;2/29/16;NULL;3
10817543;02/01/2016;2/29/16;NULL;2
10971738;02/01/2016;2/29/16;NULL;2
11525854;02/01/2016;2/29/16;NULL;1
23743984;02/01/2016;2/29/16;01/02/2016;2
11977318;02/01/2016;2/29/16;NULL;3
12062454;02/01/2016;2/29/16;NULL;2
12136387;02/01/2016;2/29/16;NULL;2
12222686;02/01/2016;2/29/16;NULL;1
12304515;02/01/2016;2/29/16;NULL;1
12560779;02/01/2016;2/29/16;NULL;3
12820272;02/01/2016;2/29/16;NULL;3
13132695;02/01/2016;2/29/16;NULL;1
13451440;02/01/2016;2/29/16;NULL;3
13477016;02/01/2016;2/29/16;NULL;1
13564352;02/01/2016;2/29/16;NULL;2
13683227;02/01/2016;2/29/16;NULL;1
14729478;02/01/2016;2/29/16;NULL;2
14881627;02/01/2016;2/29/16;NULL;1
38250918;02/03/2016;03/02/2016;03/02/2016;2
15017514;02/01/2016;2/29/16;NULL;3
49809446;02/03/2016;03/02/2016;06/02/2016;2
15357273;02/01/2016;2/29/16;NULL;2
15446912;02/01/2016;2/29/16;NULL;1
16099479;02/01/2016;2/29/16;NULL;3
16286997;02/01/2016;2/29/16;NULL;2
16935746;02/01/2016;2/29/16;NULL;1
16951736;02/01/2016;2/29/16;NULL;1
17005480;02/01/2016;2/29/16;NULL;3
17169175;02/01/2016;2/29/16;NULL;3
35319352;02/04/2016;03/03/2016;06/02/2016;3
18047258;02/01/2016;2/29/16;NULL;2
18054595;02/01/2016;2/29/16;NULL;3
18454566;02/01/2016;2/29/16;NULL;2
18666629;02/01/2016;2/29/16;NULL;2
18674305;02/01/2016;2/29/16;NULL;3
36220339;02/07/2016;03/06/2016;07/02/2016;3
18854068;02/01/2016;2/29/16;NULL;2
19033526;02/01/2016;2/29/16;NULL;3
19078106;02/01/2016;2/29/16;NULL;3
19507570;02/03/2016;03/02/2016;08/02/2016;1
10891669;02/04/2016;03/03/2016;08/02/2016;1
19613756;02/01/2016;2/29/16;NULL;3
19686178;02/01/2016;2/29/16;NULL;2
19988877;02/01/2016;2/29/16;NULL;2
20892377;02/01/2016;2/29/16;NULL;2
20920969;02/01/2016;2/29/16;NULL;3
21132062;02/01/2016;2/29/16;09/02/2016;2
21183541;02/01/2016;2/29/16;NULL;3
21432640;02/01/2016;2/29/16;NULL;2
21472326;02/01/2016;2/29/16;NULL;3
21488771;02/01/2016;2/29/16;NULL;3
21905754;02/01/2016;2/29/16;NULL;3
21987505;02/01/2016;2/29/16;NULL;1
21993110;02/01/2016;2/29/16;NULL;1
22083068;02/01/2016;2/29/16;NULL;2
22282233;02/01/2016;2/29/16;NULL;2
22435141;02/01/2016;2/29/16;NULL;2
22683065;02/01/2016;2/29/16;NULL;1
22995151;02/01/2016;2/29/16;NULL;2
23388542;02/01/2016;2/29/16;NULL;1
23401888;02/01/2016;2/29/16;NULL;3
23455191;02/01/2016;2/29/16;NULL;3
38208014;02/06/2016;03/05/2016;09/02/2016;3
23841236;02/01/2016;2/29/16;NULL;3
23851757;02/01/2016;2/29/16;NULL;1
48755752;02/07/2016;03/06/2016;09/02/2016;3
24480378;02/01/2016;2/29/16;NULL;1
24602725;02/01/2016;2/29/16;NULL;3
24831719;02/01/2016;2/29/16;NULL;3
25878890;02/01/2016;2/29/16;NULL;2
26268102;02/01/2016;2/29/16;NULL;3
26289628;02/01/2016;2/29/16;NULL;3
26732863;02/01/2016;2/29/16;NULL;3
26885987;02/01/2016;2/29/16;NULL;1
26910682;02/01/2016;2/29/16;NULL;2
26970829;02/01/2016;2/29/16;NULL;1
27550215;02/01/2016;2/29/16;NULL;3
27622591;02/01/2016;2/29/16;NULL;2
27664259;02/01/2016;2/29/16;NULL;3
15149537;02/02/2016;03/01/2016;10/02/2016;2
28184089;02/01/2016;2/29/16;NULL;1
28294601;02/01/2016;2/29/16;NULL;1
28443934;02/01/2016;2/29/16;NULL;2
28500392;02/01/2016;2/29/16;NULL;1
28508629;02/01/2016;2/29/16;NULL;1
28809262;02/01/2016;2/29/16;NULL;2
28860096;02/01/2016;2/29/16;NULL;1
29099741;02/01/2016;2/29/16;NULL;1
15474582;02/05/2016;03/04/2016;10/02/2016;3
29232277;02/01/2016;2/29/16;NULL;1
29266382;02/01/2016;2/29/16;NULL;3
29348280;02/01/2016;2/29/16;NULL;1
29420698;02/01/2016;2/29/16;NULL;3
30247739;02/01/2016;2/29/16;NULL;3
30554988;02/01/2016;2/29/16;NULL;3
31255371;02/01/2016;2/29/16;NULL;2
31384469;02/01/2016;2/29/16;NULL;3
31605556;02/01/2016;2/29/16;NULL;2
31644817;02/01/2016;2/29/16;NULL;2
31819539;02/01/2016;2/29/16;NULL;2
31879798;02/01/2016;2/29/16;NULL;1
32100994;02/01/2016;2/29/16;NULL;3
21293255;02/06/2016;03/05/2016;10/02/2016;3
32924599;02/01/2016;2/29/16;NULL;1
33029604;02/01/2016;2/29/16;NULL;3
33088439;02/01/2016;2/29/16;NULL;2
33176874;02/01/2016;2/29/16;NULL;2
33178120;02/01/2016;2/29/16;NULL;1
33263937;02/01/2016;2/29/16;NULL;3
33468381;02/01/2016;2/29/16;NULL;1
33528366;02/01/2016;2/29/16;NULL;3
21894015;02/09/2016;03/08/2016;10/02/2016;3
33711057;02/01/2016;2/29/16;NULL;3
41993905;02/01/2016;2/29/16;11/02/2016;2
19330891;02/02/2016;03/01/2016;11/02/2016;1
34647060;02/01/2016;2/29/16;NULL;1
34665407;02/01/2016;2/29/16;NULL;2
34731071;02/01/2016;2/29/16;NULL;1
22381293;02/05/2016;03/04/2016;11/02/2016;3
35879192;02/01/2016;2/29/16;NULL;3
14483448;02/06/2016;03/05/2016;11/02/2016;2
36309906;02/01/2016;2/29/16;NULL;2
36379588;02/01/2016;2/29/16;NULL;2
37132381;02/01/2016;2/29/16;NULL;2
37157014;02/01/2016;2/29/16;NULL;3
37256268;02/01/2016;2/29/16;NULL;1
37342818;02/01/2016;2/29/16;NULL;1
37660628;02/01/2016;2/29/16;NULL;2
37847686;02/01/2016;2/29/16;NULL;1
37929271;02/01/2016;2/29/16;NULL;1
38172176;02/01/2016;2/29/16;NULL;1
38556700;02/01/2016;2/29/16;NULL;1
38843704;02/01/2016;2/29/16;NULL;2
39040707;02/01/2016;2/29/16;NULL;3
39456763;02/01/2016;2/29/16;NULL;1
39471990;02/01/2016;2/29/16;NULL;1
39766529;02/01/2016;2/29/16;NULL;3
39945730;02/01/2016;2/29/16;NULL;3
40085449;02/01/2016;2/29/16;NULL;3
40213210;02/01/2016;2/29/16;NULL;3
40214053;02/01/2016;2/29/16;NULL;2
40261059;02/01/2016;2/29/16;NULL;3
40354671;02/01/2016;2/29/16;NULL;3
40563867;02/01/2016;2/29/16;NULL;1
41104572;02/01/2016;2/29/16;NULL;2
41299176;02/01/2016;2/29/16;NULL;2
41607581;02/01/2016;2/29/16;NULL;2
49716357;02/01/2016;2/29/16;12/02/2016;3
42464508;02/01/2016;2/29/16;NULL;1
27382429;02/03/2016;03/02/2016;12/02/2016;2
44019358;02/05/2016;03/04/2016;12/02/2016;2
43154841;02/01/2016;2/29/16;NULL;1
43167552;02/01/2016;2/29/16;NULL;3
43289816;02/01/2016;2/29/16;NULL;1
43929238;02/01/2016;2/29/16;NULL;1
44150790;02/01/2016;2/29/16;NULL;3
44652756;02/01/2016;2/29/16;NULL;2
44786141;02/01/2016;2/29/16;NULL;3
44891467;02/01/2016;2/29/16;NULL;3
44916803;02/01/2016;2/29/16;NULL;1
45135486;02/01/2016;2/29/16;NULL;3
45385638;02/01/2016;2/29/16;NULL;2
46274862;02/01/2016;2/29/16;NULL;3
46546791;02/01/2016;2/29/16;NULL;1
46637011;02/01/2016;2/29/16;NULL;1
47010727;02/01/2016;2/29/16;NULL;2
47173030;02/01/2016;2/29/16;NULL;3
47445727;02/01/2016;2/29/16;NULL;3
47886975;02/01/2016;2/29/16;NULL;2
48347755;02/01/2016;2/29/16;NULL;2
48435580;02/01/2016;2/29/16;NULL;3
48468364;02/01/2016;2/29/16;NULL;2
48496026;02/01/2016;2/29/16;NULL;2
48550059;02/01/2016;2/29/16;NULL;3
11952736;02/06/2016;03/05/2016;12/02/2016;1
48633083;02/01/2016;2/29/16;NULL;1
49214626;02/01/2016;2/29/16;NULL;1
27437948;02/08/2016;03/07/2016;12/02/2016;3
10068362;02/02/2016;03/01/2016;NULL;3
10987976;02/02/2016;03/01/2016;NULL;3
11235670;02/02/2016;03/01/2016;NULL;2
11469816;02/02/2016;03/01/2016;NULL;1
12113681;02/02/2016;03/01/2016;NULL;3
12461462;02/02/2016;03/01/2016;NULL;3
12621460;02/02/2016;03/01/2016;NULL;2
12893549;02/02/2016;03/01/2016;NULL;2
12978889;02/02/2016;03/01/2016;NULL;3
13017732;02/02/2016;03/01/2016;NULL;1
27786186;02/10/2016;03/09/2016;12/02/2016;3
13491491;02/02/2016;03/01/2016;NULL;1
13550512;02/02/2016;03/01/2016;NULL;1
13820453;02/02/2016;03/01/2016;NULL;3
14192600;02/02/2016;03/01/2016;NULL;1
23553609;02/12/2016;03/11/2016;12/02/2016;2
17900866;02/04/2016;03/03/2016;13/02/2016;3
17311301;02/07/2016;03/06/2016;13/02/2016;3
14965500;02/02/2016;03/01/2016;NULL;2
13376553;2/13/16;03/12/2016;13/02/2016;2
15382693;02/02/2016;03/01/2016;NULL;1
15875069;02/02/2016;03/01/2016;NULL;3
17640206;02/10/2016;03/09/2016;14/02/2016;1
16369544;02/02/2016;03/01/2016;NULL;3
